Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.8083633258097969	0.8130925262848527	0.720499395892066	0.7206455531746165	0.7101910828025477	0.7299509001636661	0.4411013197284649	0.7299509001636661
1	0.8295743772315896	0.8313178544284903	0.7446637132501007	0.7441957581790879	0.7538860103626943	0.7144026186579379	0.48878738242793696	0.7144026186579379
2	0.840145183919966	0.841287117128608	0.756745871929118	0.7563568258896182	0.764102564102564	0.7315875613747954	0.513051259539407	0.7315875613747954
3	0.8466691153852643	0.8474959855065498	0.7660088602496979	0.7658941738235443	0.7642209398186315	0.7585924713584288	0.5318489206508579	0.7585924713584288
4	0.8533416572460223	0.853731643441056	0.7704389850986709	0.7704076467511431	0.765905383360522	0.7684124386252046	0.5407879196895562	0.7684124386252046
5	0.8600018689866328	0.8605511764152537	0.7813129279097866	0.7812399817773803	0.77850697292863	0.776595744680851	0.562501318237232	0.776595744680851
6	0.8676121489322765	0.8677515513475023	0.7881594844945631	0.7881072097457269	0.7847790507364976	0.7847790507364976	0.576214419491454	0.7847790507364976
7	0.8765969127974967	0.876761257547996	0.7994361659283126	0.7992474732988004	0.8016666666666666	0.7872340425531915	0.5986616146699184	0.7872340425531915
8	0.8855641549130336	0.8859644141930092	0.8046717680225534	0.8046425498169302	0.8008163265306123	0.8027823240589198	0.6092619697397892	0.8027823240589198
9	0.8940914064254202	0.8939878562092776	0.8163511880789368	0.8165969257765704	0.8020504731861199	0.8322422258592471	0.6328254765899681	0.8322422258592471
10	0.9001331652975907	0.900581644687767	0.8219895287958116	0.8219202929117384	0.8201970443349754	0.8175122749590835	0.6438731776457884	0.8175122749590835
11	0.9062858952510866	0.9064611843901816	0.8312525171163915	0.8311918943088059	0.8293683347005743	0.8273322422258592	0.6624089361720078	0.8273322422258592
12	0.9089667229525835	0.9087196080174992	0.8352799033427306	0.8352202743516628	0.8334700574241182	0.8314238952536824	0.6704660021344897	0.8314238952536824
13	0.9136326999977935	0.9135452191469543	0.8385018123238018	0.8381139588641233	0.8517566409597258	0.8134206219312602	0.6766989020822869	0.8134206219312602
14	0.914918926215263	0.9147710399258608	0.8405155054369714	0.8401850945720215	0.8511904761904762	0.8191489361702128	0.6807664711096104	0.8191489361702128
15	0.9176036476389118	0.9176270080460617	0.8437374144180427	0.8436102721581993	0.8451986754966887	0.8355155482815058	0.6873423168766295	0.8355155482815058
16	0.9197705040163745	0.9193776029943307	0.8429319371727748	0.8425768134037491	0.8549488054607508	0.8199672667757774	0.6855874184316937	0.8199672667757774
17	0.9211995000460756	0.9209216121317332	0.8417237213048732	0.841437899674355	0.8503803888419273	0.823240589198036	0.6832129849631359	0.823240589198036
18	0.9227920324061516	0.9228376636663834	0.8461538461538461	0.8456096984831356	0.8677758318739054	0.8109656301145662	0.6919198743391829	0.8109656301145662
19	0.9247213717323559	0.92476533066279	0.8521949254933548	0.8520508883527089	0.8547717842323651	0.8428805237315876	0.7042532814101943	0.8428805237315876
21	0.9250685619575559	0.9252217940026507	0.8509867096254531	0.8507221556684158	0.8591905564924115	0.8338788870703764	0.7017640108035111	0.8338788870703764
22	0.9252982915645106	0.9245608418677228	0.8481675392670157	0.8474910152361348	0.8768956289027654	0.8044189852700491	0.6958714337000824	0.8044189852700491
24	0.9268460461198411	0.9263196179717164	0.8481675392670157	0.847642870400054	0.868995633187773	0.8142389525368249	0.6959638907772012	0.8142389525368249
26	0.9278584138793023	0.9275331110041047	0.8538058799838905	0.8532319840720806	0.8777484608619174	0.8166939443535188	0.7072246878338604	0.8166939443535188
28	0.9291498317263077	0.9283046838431045	0.8489730165122835	0.8482207636627466	0.8818755635707844	0.8003273322422259	0.6974388435721859	0.8003273322422259
36	0.9293198575936018	0.9282786764281059	0.8530004027386227	0.8522617983025967	0.8856885688568857	0.8052373158756138	0.7055146049380109	0.8052373158756138
40	0.9297734762242835	0.9287394227122385	0.8590414820781312	0.8586776789781835	0.8726495726495727	0.8355155482815058	0.7178277166205174	0.8355155482815058
44	0.9304480635870785	0.9297442546646992	0.8598469593233992	0.8595719371657078	0.8690878378378378	0.8420621931260229	0.7194898587911578	0.8420621931260229
51	0.9309214753053653	0.929558752452508	0.8574305275875956	0.8573700372888792	0.8563218390804598	0.853518821603928	0.714776255399568	0.853518821603928
54	0.9309464600225057	0.9300174798162579	0.8630688683044704	0.8626934044240471	0.877568493150685	0.8387888707037643	0.7258828396072704	0.8387888707037643
55	0.9311937113791433	0.9297038753555872	0.8550140958517922	0.8546746081293131	0.8671209540034072	0.8330605564648118	0.709780351505124	0.8330605564648118
66	0.9315363589284996	0.9297337353973715	0.8562223117196939	0.856370324126411	0.8457234212629896	0.8657937806873978	0.7124791802829373	0.8657937806873978
67	0.9316307816906801	0.9297767928303178	0.8574305275875956	0.8573953464828656	0.8551554828150573	0.8551554828150573	0.7147906929657313	0.8551554828150573
68	0.9322946613175577	0.9307677883232962	0.8570277889649618	0.8569229081951171	0.8579686209744013	0.8502454991816694	0.713945197966545	0.8502454991816694
