Test,Val,MSE,MSE_SE,SCC,PCC
0,1,212.69927680398598,10.743045325359613,0.7138332278687606,0.715566942827222
0,2,210.56561817811945,10.10807559402857,0.7128193084026762,0.7185828889776913
0,3,208.85091117433169,10.755177349700679,0.7155435921483736,0.7222057021279134
0,4,212.1944891920015,10.302507086249452,0.7127867235850673,0.7190655073485825
1,0,224.54502109735245,9.338168339109577,0.7225352265003984,0.7210993675007905
1,2,226.48957680374312,9.362514038209708,0.7204424187448533,0.7189989324959952
1,3,227.05385315370182,9.517656016635586,0.7175671867932583,0.7168514070249584
1,4,222.61414110563678,9.571684595497873,0.7245298479977194,0.7258792257514354
2,0,275.59275311686156,17.25405585889387,0.7362119700011355,0.7108256045861248
2,1,271.91720901162574,16.713386235255097,0.735552507281194,0.7158777415513612
2,3,277.1225434969863,17.307981961488338,0.7371016302865779,0.7082567930038939
2,4,278.20175282692486,17.123010320174327,0.7332453792562034,0.7080779967612066
3,0,324.85958604479043,14.651210568910873,0.6976001522517477,0.7108465171130399
3,1,332.7425501110408,15.07889067705283,0.6904158626443059,0.6996236791883225
3,2,331.3052381942587,15.115886050861677,0.6924862302122561,0.7005844688891094
3,4,334.2119907166304,15.49886120385705,0.6927854036613831,0.6972424420476592
4,0,215.33098128489968,9.46490331523745,0.7332773557743183,0.7744591006329633
4,1,224.33221532219096,10.661789168240112,0.7334813032436746,0.7649679742277145
4,2,218.0779519852887,10.396694590262598,0.7348948293858408,0.7720826778713882
4,3,222.32933040760895,10.303647202615462,0.731402390467248,0.765541869981617
